,Country Name,Country Code,Year,Access to electricity (% of population),Age dependency ratio (% of working-age population),"Automated teller machines (ATMs) (per 100,000 adults)","Contributing family workers, total (% of total employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Exports of goods and services (% of GDP),GDP growth (annual %),"Inflation, consumer prices (annual %)","Labor force, total","Literacy rate, adult total (% of people ages 15 and above)","Population, total",Tax revenue (% of GDP),"Total employment, total (ages 15+)"
89,Bhutan,BTN,2000,34.91934204,81.41425774,61.014200824327816,57.82400131,0.157000005,80.98899841,2.257999897,29.37722626,6.93302424,4.01099373,219105.0,81.3130004337143,573416.0,10.01785033,215339.0
90,Bhutan,BTN,2001,39.3070755,77.62941852,61.014200824327816,56.87900162,0.171000004,80.81099701,2.617000103,26.2861735,8.203773861,3.410404624,234269.0,81.3130004337143,589600.0,8.527339576,229818.0
91,Bhutan,BTN,2002,43.68245697,73.69506498,61.014200824327816,55.4679985,0.187999994,80.32499695,2.710999966,23.87154995,10.72784061,2.483430488,250989.0,81.3130004337143,606399.0,9.249166293,246291.0
92,Bhutan,BTN,2003,41.1,69.86006517,61.014200824327816,54.7859993,0.194000006,79.75700378,2.720999956,25.52907435,7.664334042,1.566152408,268487.0,81.3130004337143,623434.0,9.365507829,263655.0
93,Bhutan,BTN,2004,52.42043686,66.34028104,0.489170977,54.65999985,0.185000002,76.09500122,3.713999987,31.02749389,5.896408192,-18.10863013,285786.0,81.3130004337143,640282.0,7.682696858,278667.0
94,Bhutan,BTN,2005,59.80811164,63.19769956,0.468128632,54.50600052,0.175999999,70.26899719,4.824999809,38.24974176,7.12255965,5.311513063,302195.0,52.81468964,656639.0,8.346577891,292826.0
95,Bhutan,BTN,2006,61.1817894,60.82394316,0.450470742,53.57799911,0.191,62.8030014,7.546999931,54.41944342,6.849365932,5.00045438,316034.0,81.3130004337143,672228.0,9.030990682,306142.0
96,Bhutan,BTN,2007,71.8,58.68489075,2.174026471,51.61500168,0.279000014,67.5719986,6.119999886,54.96856072,17.92582494,5.156111388,328786.0,81.3130004337143,686958.0,7.51946727,316624.0
97,Bhutan,BTN,2008,70.01350403,56.7570227,3.155967935,51.3429985,0.273000002,67.48500061,6.143000126,48.79026012,4.768354226,8.327160494,340498.0,81.3130004337143,700950.0,8.41593234,327627.0
98,Bhutan,BTN,2009,74.46164703,54.95987507,4.079235062,50.61500168,0.272000015,65.36599731,6.427999973,44.70198135,6.657223796,4.361122191,351556.0,81.3130004337143,714458.0,9.235527025,337632.0
99,Bhutan,BTN,2010,73.28291087,53.24565098,8.313753125,40.82699966,0.135000005,59.59999847,6.629000187,42.45279115,11.73085436,7.036383161,352752.0,81.3130004337143,727641.0,13.14329652,341042.0
100,Bhutan,BTN,2011,83.40899658,51.97056264,13.8760407,40.95000076,0.229000002,60.14799881,9.206000328,41.20541495,7.890913893,8.848985699,352709.0,81.3130004337143,740510.0,13.50757775,341319.0
101,Bhutan,BTN,2012,91.5,50.65426432,7.696451936,39.0929985,0.082999997,62.20999908,8.647000313,38.72533426,5.071709815,10.91965694,349247.0,57.03359985,752967.0,14.70414816,342087.0
102,Bhutan,BTN,2013,92.40441895,49.37872856,19.58440788,38.09999847,0.088,56.34400177,10.95800018,40.4599045,2.142496554,7.006666667,361128.0,81.3130004337143,764961.0,14.37788345,350764.0
103,Bhutan,BTN,2014,96.91264343,48.23820506,21.98957372,37.13299942,0.086999997,56.65100098,10.82199955,36.28463735,5.745455168,8.206545146,360141.0,81.3130004337143,776448.0,13.33689264,350671.0
104,Bhutan,BTN,2015,98.42352295,47.26964628,26.59658234,33.92499924,0.090999998,57.98600006,9.661000252,33.22427135,6.597448486,4.521708543,380655.0,81.3130004337143,787386.0,13.77231067,371328.0
105,Canada,CAN,1995,100.0,47.80420318,61.014200824327816,0.43599999,6.217999935,4.065999985,21.96500015,36.10503599,2.677708436,2.168229067,15052399.0,81.3130004337143,29354000.0,13.3295053,13624002.0
